Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Poisoning by multiple unspecified drugs, medicaments and biological substances, undetermined, sequela",T50914S,T50914S,,Yes,
"Subluxation of lens, left eye",H27112,H27112,,Yes,
"Laceration without foreign body of right little finger with damage to nail, sequela",S61316S,S61316S,,Yes,
"Toxic effect of zinc and its compounds, intentional self-harm, sequela",T565X2S,T565X2S,,Yes,
"Burn of left eye and adnexa, part unspecified, sequela",T2642XS,T2642XS,,Yes,
Other transitory disorders of carbohydrate metabolism of newborn,P708,P708,,Yes,
"Laceration of blood vessel of right index finger, initial encounter",S65510A,S65510A,,Yes,
"Unspecified nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S12601D,S12601D,,Yes,
"Car driver injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V455XXD,V455XXD,,Yes,
"Opioid abuse, uncomplicated",F1110,F1110,,Yes,
"Unspecified sprain of left wrist, subsequent encounter",S63502D,S63502D,,Yes,
"Esophagitis, unspecified with bleeding",K2091,K2091,,Yes,
"Unspecified foreign body in bronchus causing other injury, sequela",T17508S,T17508S,,Yes,
"Other migraine, intractable, with status migrainosus",G43811,G43811,,Yes,
"Adult neglect or abandonment, confirmed, initial encounter",T7401XA,T7401XA,,Yes,
"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with nonunion",S82131M,S82131M,,Yes,
"Passenger on bus injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V711XXD,V711XXD,,Yes,
"Pathological fracture in other disease, left shoulder, subsequent encounter for fracture with malunion",M84612P,M84612P,,Yes,
"Osteonecrosis due to drugs, right humerus",M87121,M87121,,Yes,
"Subluxation of T11/T12 thoracic vertebra, sequela",S23162S,S23162S,,Yes,
"Displaced dome fracture of right talus, subsequent encounter for fracture with delayed healing",S92141G,S92141G,,Yes,
"Smith's fracture of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52542C,S52542C,,Yes,
